iso3,year,v2smpolsoc,v2smpolsoc_codelow,v2smpolsoc_codehigh,stringency_mean,stringency_max,p_score_mean,p_score_peak,cum_excess_per_100k,population,urban_pct,health_exp_gdp,gdp_pc_ppp,pop_density,ethnic_frac,region
AUS,2019,0.558,0.28,0.868,,,,,,25334826.0,87.3019647888406,10.25421429,58048.6188420831,3.29365056253104,0.0929,AusNZ
AUS,2020,0.558,0.28,0.868,55.85450819672131,75.46,1.040576923076923,10.74,-13.095415,25649248.0,87.2713470458985,10.70324135,57260.4650530108,3.33452695130798,0.0929,AusNZ
AUS,2021,0.486,0.205,0.792,61.46345205479452,78.24,6.99,16.59,5.965798,25685412.0,87.2353407632761,10.51612186,58327.4146842325,3.33922844714392,0.0929,AusNZ
AUS,2022,0.486,0.205,0.792,24.249397260273973,55.32,18.9225,36.93,91.96746,26018721.0,87.3343268253813,9.89226055,60029.1329190733,3.38256023775289,0.0929,AusNZ
AUS,2023,0.486,0.205,0.792,,,13.68,23.31,138.60222000000002,26659922.0,87.4866955653765,10.39852047,60684.9596204883,3.46591948538875,0.0929,AusNZ
AUS,2024,0.546,0.106,0.986,,,16.466470588235296,21.1,,27196812.0,87.6021469990446,,60303.9817116245,,0.0929,AusNZ
AUT,2019,0.481,0.14,0.767,,,,,,8879920.0,68.3176044750522,10.62530422,64609.374295614,107.609306834707,0.1068,W_Europe
AUT,2020,0.232,-0.163,0.521,47.06521857923497,82.41,10.242115384615385,58.7,80.50266,8916864.0,68.5410177924001,11.41292953,60276.4153459141,108.057004362579,0.1068,W_Europe
AUT,2021,0.232,-0.163,0.521,61.62435616438356,82.41,11.016153846153847,42.35,162.4463,8955797.0,68.773601700253,12.185215,62968.9422311892,108.528805138148,0.1068,W_Europe
AUT,2022,0.232,-0.163,0.521,38.745479452054795,55.69,12.817307692307692,38.12,256.74922000000004,9041851.0,68.998085127906,11.22519779,65694.5513287254,109.571631119729,0.1068,W_Europe
AUT,2023,0.116,-0.208,0.466,,,9.122075471698114,32.72,317.80242,9131761.0,69.2265358276021,11.15297318,64536.2981841434,110.661185167232,0.1068,W_Europe
AUT,2024,0.116,-0.208,0.466,,,-4.067407407407408,2.14,,9177982.0,69.4658181096788,11.8325634,63788.078678479,,0.1068,W_Europe
BEL,2019,0.336,-0.079,0.734,,,,,,11488980.0,87.0961631189222,10.85831451,60479.9769955466,376.761985964452,0.5554,W_Europe
BEL,2020,1.021,0.551,1.463,51.53062841530054,81.48,15.964038461538461,104.85,147.74275,11538604.0,87.2964994991269,11.46253014,57333.5424137922,378.38932248967,0.5554,W_Europe
BEL,2021,0.989,0.516,1.429,50.114904109589034,75.93,2.9465384615384616,29.65,174.07869,11586195.0,87.4305564090635,11.28825092,60669.2137746531,379.949990161999,0.5554,W_Europe
BEL,2022,1.255,0.774,1.762,15.462109589041097,33.89,6.312115384615385,34.73,233.4513,11680210.0,87.489200269855,10.73976326,62561.7810453236,383.033055683085,0.5554,W_Europe
BEL,2023,1.03,0.532,1.468,,,2.4590566037735853,27.61,259.69294,11779946.0,87.551492636772,10.80371571,63095.4017281289,386.303731881682,0.5554,W_Europe
BEL,2024,1.03,0.532,1.468,,,-1.3470833333333332,8.53,,11858610.0,87.6126557010527,,63347.7858809235,,0.5554,W_Europe
CAN,2019,1.174,0.666,1.608,,,,,,37618495.0,81.7363672047941,11.04823494,57583.845798092,4.19587500655283,0.7124,N_America
CAN,2020,1.174,0.666,1.608,55.79491803278688,76.39,11.125,31.81,33.01195,38028638.0,81.9509888710566,13.01732922,54092.8790317796,4.24162135453439,0.7124,N_America
CAN,2021,1.748,1.12,2.227,69.4129315068493,75.46,13.155576923076923,25.74,65.13482,38239864.0,82.1779279079275,12.38106632,56995.1176781351,4.351026204103,0.7124,N_America
CAN,2022,0.792,0.293,1.195,25.710794520547946,71.86,21.574230769230766,33.16,142.61033,38935934.0,82.3500897353968,11.08119678,58321.0611834624,4.43022676846405,0.7124,N_America
CAN,2023,0.792,0.293,1.195,,,19.175094339622643,29.28,186.79948,40083484.0,82.5250564408346,11.18692875,57517.4431587432,4.56079784268436,0.7124,N_America
CAN,2024,0.792,0.293,1.195,,,18.290000000000003,23.13,,41288599.0,82.7002565766633,11.3095665,56706.8238031978,,0.7124,N_America
CHE,2019,-0.451,-0.859,0.011,,,,,,8575280.0,80.7792907322229,11.42588997,79596.7029465098,217.042781721823,0.5314,W_Europe
CHE,2020,-0.744,-1.25,-0.238,42.28521857923497,73.15,13.168653846153846,69.89,90.54583,8638167.0,82.3416838515457,11.98960876,77324.8870934007,218.63446962171,0.5314,W_Europe
CHE,2021,-0.744,-1.25,-0.238,51.87835616438356,60.19,6.693269230769231,44.79,127.9102,8704546.0,84.2006477608879,11.95855618,81001.4111206118,220.31454103721,0.5314,W_Europe
CHE,2022,-0.744,-1.25,-0.238,14.894356164383561,56.48,11.451346153846155,30.75,196.37955,8777088.0,84.9206266284521,11.59911823,82777.293582076,222.150599739861,0.5314,W_Europe
CHE,2023,-1.041,-1.624,-0.444,,,7.714150943396227,23.06,233.88957999999997,8888822.0,85.1854212679815,11.69096088,82295.2993346568,224.978619136651,0.5314,W_Europe
CHE,2024,-1.041,-1.624,-0.444,,,1.6758620689655173,12.21,,9005582.0,85.4615370020764,,82286.1801896488,,0.5314,W_Europe
CHL,2019,-2.413,-3.105,-1.642,,,,,,19197744.0,88.1273685623538,9.30968475,28218.5343879081,25.84400416762,0.1861,L_America
CHL,2020,-1.582,-2.139,-0.916,65.16598360655738,90.28,17.076153846153847,68.59,75.097723,19370624.0,88.2953490438375,9.69734573,26248.5616432825,26.0767352343796,0.1861,L_America
CHL,2021,-1.156,-1.696,-0.502,64.63060273972603,84.72,29.626730769230768,53.62,199.98938,19456334.0,88.4660511664452,9.72450161,29089.850459728,26.192118041714,0.1861,L_America
CHL,2022,-0.879,-1.391,-0.358,24.32643835616438,30.14,28.71096153846154,76.82,308.16877,19553036.0,88.6395352768685,10.0053072,29569.4775527937,26.3222982801325,0.1861,L_America
CHL,2023,-0.568,-0.994,-0.103,,,15.22943396226415,27.1,336.22407,19658835.0,88.8158617217972,10.17470455,29563.6780243659,26.4647249005172,0.1861,L_America
CHL,2024,-0.635,-1.177,-0.102,,,20.477931034482758,43.2,,19764771.0,88.9950908479196,10.53092575,30182.7871224714,,0.1861,L_America
COL,2019,-2.232,-2.877,-1.449,,,,,,49907985.0,77.4595528518377,7.83404827,17336.7716030551,44.9824109959441,0.6014,L_America
COL,2020,-2.232,-2.877,-1.449,63.194699453551905,90.74,31.027115384615385,87.9,103.01144,50629997.0,77.6382533537045,8.69751263,15861.4999291295,45.6331653898152,0.6014,L_America
COL,2021,-2.018,-2.654,-1.293,61.00991780821918,81.02,59.20269230769231,135.83,318.1784,51188173.0,77.8339570326128,9.14150524,17383.0901728295,46.1362532672375,0.6014,L_America
COL,2022,-0.892,-1.264,-0.454,27.756493150684932,49.4,25.236730769230768,87.51,368.59175,51737944.0,78.0464633137335,7.59037256,18458.7209460704,46.6317656602073,0.6014,L_America
COL,2023,-1.601,-2.133,-0.889,,,16.787857142857142,20.73,368.14817,52321152.0,78.275571579544,8.15838146,18382.9976800475,47.1574150518251,0.6014,L_America
COL,2024,-2.347,-3.188,-1.536,,,,,,52886363.0,78.5210811866115,8.14139366,18477.2146664536,,0.6014,L_America
CRI,2019,0.593,0.241,1.024,,,,,,4999553.0,77.0435864735963,7.2212491,23364.783127574,97.9152565609087,0.2368,L_America
CRI,2020,0.696,0.275,1.04,54.3942349726776,81.48,13.814166666666665,33.98,18.52001,5034320.0,77.5211537281257,7.82545757,22211.8613921698,98.5961613787701,0.2368,L_America
CRI,2021,0.936,0.511,1.338,56.327260273972605,66.67,35.2125,69.05,116.20581999999999,5059988.0,77.9868940200009,7.61130476,23852.9253020002,99.0988640814728,0.2368,L_America
CRI,2022,0.149,-0.242,0.551,19.1693698630137,50.82,26.260833333333334,48.39,157.94749,5081765.0,78.4405687613972,7.18368196,24831.7193480342,99.5253623188406,0.2368,L_America
CRI,2023,0.149,-0.242,0.551,,,26.354166666666668,38.44,186.14869000000002,5105525.0,78.8819393641702,6.8663702,25979.6286150717,99.9906972189581,0.2368,L_America
CRI,2024,0.149,-0.242,0.551,,,,,,5129910.0,79.3107672397967,,26973.4361580719,,0.2368,L_America
CZE,2019,0.58,0.249,0.951,,,,,,10671870.0,72.7876426709563,7.48754358,47763.6165520254,138.226810266108,0.3222,E_Europe
CZE,2020,0.66,0.284,1.029,44.77726775956284,82.41,15.961153846153847,108.07,142.14481,10697858.0,72.7254901604208,8.96995831,45119.9387309139,138.575928842168,0.3222,E_Europe
CZE,2021,0.496,0.124,0.827,55.17043835616438,81.48,24.875576923076924,67.07,391.38223,10505772.0,72.6810594374316,9.15420723,47796.0337408466,136.108349053848,0.3222,E_Europe
CZE,2022,0.365,0.081,0.761,18.499397260273973,37.82,7.936923076923078,33.57,440.0774,10672118.0,72.6967638379524,8.47063065,48390.661678675,138.290511305111,0.3222,E_Europe
CZE,2023,0.296,-0.06,0.627,,,2.1467924528301885,37.86,419.93267,10864042.0,72.7352388396817,8.42677402,47558.4106763314,140.785547662605,0.3222,E_Europe
CZE,2024,0.379,0.015,0.697,,,-4.635714285714285,5.98,,10905028.0,72.7947984592185,8.50710297,47963.8968485782,,0.3222,E_Europe
DEU,2019,0.136,-0.23,0.537,,,,,,83092962.0,81.3053991689039,11.42805386,62849.3741865912,237.822954291766,0.1682,W_Europe
DEU,2020,0.136,-0.23,0.537,51.8127868852459,82.41,5.264423076923077,39.29,29.401531999999996,83160871.0,81.4700055002738,12.46780777,60203.289760263,238.017318755545,0.1682,W_Europe
DEU,2021,0.042,-0.391,0.447,61.240767123287675,85.19,10.289423076923075,39.22,105.97295,83196078.0,81.6325870653934,12.72403336,62530.7653199239,238.118085806692,0.1682,W_Europe
DEU,2022,0.391,-0.012,0.8,19.051506849315068,42.69,14.399038461538462,53.65,217.9867,83177813.0,81.7867852780995,12.44708347,63676.087821808,238.086252003664,0.1682,W_Europe
DEU,2023,0.424,0.032,0.92,,,11.059056603773584,48.76,289.60684000000003,83287273.0,81.9034366692129,11.74428654,63039.3719696432,238.351810090719,0.1682,W_Europe
DEU,2024,-0.295,-0.778,0.161,,,4.863448275862068,16.75,,83516593.0,82.0211432579125,12.26655293,62554.5547232436,,0.1682,W_Europe
DNK,2019,2.248,1.531,2.715,,,,,,5814422.0,88.2096490810669,10.18468761,67131.4657009734,145.36055,0.0819,N_Europe
DNK,2020,2.248,1.531,2.715,46.365027322404366,72.22,1.7405769230769232,20.55,-12.767698,5831404.0,88.2394485473632,10.69237614,65744.4367251959,145.7851,0.0819,N_Europe
DNK,2021,2.248,1.531,2.715,46.20558904109589,70.37,7.186730769230769,21.78,13.687498,5856733.0,88.2616449318149,10.65575886,69715.1809680929,146.418325,0.0819,N_Europe
DNK,2022,2.248,1.531,2.715,13.531205479452053,34.38,10.853076923076923,34.56,67.496173,5903037.0,88.3880239837703,9.47411346,69475.3198650883,147.575925,0.0819,N_Europe
DNK,2023,2.248,1.531,2.715,,,9.154716981132076,30.14,96.905566,5946952.0,88.552638542867,9.5572958,69379.22000847,148.6738,0.0819,N_Europe
DNK,2024,2.248,1.531,2.715,,,3.0603846153846153,21.79,,5976992.0,88.6960552688405,9.38812923,71431.2926242287,,0.0819,N_Europe
ESP,2019,-1.503,-1.986,-1.017,,,,,,47118501.0,79.6349761108307,9.21539497,46896.4171141424,94.3181087826492,0.4165,S_Europe
ESP,2020,-2.196,-2.804,-1.585,56.27215846994536,85.19,18.033076923076923,158.25,147.09586,47359424.0,79.6955674617799,10.79479218,41553.4477945675,94.802910688937,0.4165,S_Europe
ESP,2021,-2.196,-2.804,-1.585,55.43775342465753,78.7,7.2457692307692305,25.38,203.40842,47443821.0,79.7846242983598,10.34419918,44251.6658222621,94.9382927184248,0.4165,S_Europe
ESP,2022,-2.575,-3.238,-1.867,23.136,38.65,11.635576923076922,47.69,290.697,47786102.0,79.9548794567814,9.6799593,46733.4809780536,95.626963633201,0.4165,S_Europe
ESP,2023,-2.575,-3.238,-1.867,,,4.193584905660377,22.85,315.21123,48352528.0,80.128491001856,9.2206583,47322.5937004504,96.7636173412149,0.4165,S_Europe
ESP,2024,-1.503,-1.966,-0.918,,,3.166923076923077,21.01,,48848840.0,80.315199821207,,48460.2914069661,,0.4165,S_Europe
EST,2019,0.047,-0.587,0.566,,,,,,1326898.0,69.5787397662154,6.64763546,42218.962853871,31.0385497076023,0.5062,N_Europe
EST,2020,0.321,-0.287,0.827,36.38357923497268,77.78,2.2084615384615387,15.69,7.762614000000001,1329522.0,69.8815778947665,7.47179365,40920.5270623015,31.0999298245614,0.5062,N_Europe
EST,2021,0.236,-0.347,0.767,38.12265753424658,64.7,20.200961538461538,48.25,222.48745,1330932.0,70.1777274135822,7.47591066,44251.5374983455,31.1329122807018,0.5062,N_Europe
EST,2022,0.597,0.047,1.185,21.536657534246576,45.62,11.15403846153846,33.4,329.68997,1348840.0,70.4892333736738,6.93641424,43128.6327713627,31.5665808565411,0.5062,N_Europe
EST,2023,0.597,0.047,1.185,,,3.8926415094339624,33.78,347.9003,1370286.0,70.6770085523126,7.47082138,41288.6165892158,32.0684764802247,0.5062,N_Europe
EST,2024,0.597,0.047,1.185,,,1.184074074074074,20.31,,1372341.0,70.6981161541961,7.83648062,41189.6675300734,,0.5062,N_Europe
FIN,2019,2.393,1.814,2.992,,,,,,5521606.0,72.7431214358314,9.22295189,56922.4873163103,18.1673609054717,0.1315,N_Europe
FIN,2020,2.578,1.917,3.167,38.731502732240436,71.3,3.089423076923077,16.48,7.649922999999999,5529543.0,73.0849439791673,9.69977188,55424.8574989208,18.1928768835954,0.1315,N_Europe
FIN,2021,2.086,1.479,2.532,42.45320547945205,52.31,7.5880769230769225,22.87,51.38926,5541017.0,73.3710215780329,9.90969753,56790.3766177692,18.2301659134121,0.1315,N_Europe
FIN,2022,2.416,1.786,3.045,16.35619178082192,34.77,17.562115384615385,32.79,187.60293,5556106.0,73.6967597835949,9.74152565,57068.3056478074,18.2798093224591,0.1315,N_Europe
FIN,2023,1.126,0.674,1.615,,,14.522264150943395,44.94,289.46837999999997,5583911.0,74.0062548602828,10.47389507,56250.8787899319,18.3705454665088,0.1315,N_Europe
FIN,2024,0.703,0.192,1.116,,,4.155185185185185,15.0,,5619911.0,74.2637190463636,,56123.1479579839,,0.1315,N_Europe
FRA,2019,-0.897,-1.294,-0.356,,,,,,67382061.0,78.6890784549356,11.17058277,53448.5548849943,125.024698023935,0.1032,W_Europe
FRA,2020,-0.75,-1.161,-0.274,54.293114754098355,87.96,10.629615384615384,65.24,71.20124,67601110.0,78.7119131765249,12.12949371,49311.333409639,125.431134613601,0.1032,W_Europe
FRA,2021,-0.937,-1.318,-0.342,52.67824657534247,75.0,8.858076923076924,19.91,121.41864000000001,67842811.0,78.7364603392338,12.24894238,52517.3354905855,125.879601076167,0.1032,W_Europe
FRA,2022,-0.937,-1.318,-0.342,19.813232876712327,48.33,11.215769230769231,37.35,183.89592,68184457.0,78.7591921123356,11.82888794,53673.8137406422,126.513511457464,0.1032,W_Europe
FRA,2023,-0.937,-1.318,-0.342,,,6.136037735849056,30.8,192.02994,68372286.0,78.7804323126547,11.51974583,54296.7230897731,126.862020595603,0.1032,W_Europe
FRA,2024,-1.52,-2.165,-0.804,,,2.6939130434782608,9.06,,68551653.0,78.7999750964116,11.53530598,54799.3482689389,,0.1032,W_Europe
GBR,2019,-0.871,-1.27,-0.434,,,,,,66631000.0,82.6699420738913,9.97954082,52515.684446109,275.414376059191,0.1211,N_Europe
GBR,2020,-0.742,-1.127,-0.327,56.9087431693989,79.63,13.67653846153846,108.4,115.75933,66744000.0,82.9000015258789,12.10388088,47158.985486323,275.881453312942,0.1211,N_Europe
GBR,2021,-0.344,-0.637,0.013,57.815643835616434,87.96,9.800576923076923,44.2,202.80187,66984000.0,82.9886431523641,12.08347321,51004.4271714238,276.873475798785,0.1211,N_Europe
GBR,2022,-0.626,-0.995,-0.181,14.444301369863014,42.1,9.046923076923077,25.82,270.38328,67604000.0,83.0753982997505,11.09679794,53139.151252206,279.436200553879,0.1211,N_Europe
GBR,2023,-0.479,-0.81,-0.066,,,9.453018867924529,26.41,347.26423,68492000.0,83.1601932891335,10.99128914,52592.6822066393,283.106683751498,0.1211,N_Europe
GBR,2024,-0.149,-0.464,0.174,,,5.8486206896551725,17.48,,69226000.0,83.2429544416085,11.133358,52621.1790252979,,0.1211,N_Europe
GRC,2019,-1.041,-1.433,-0.579,,,,,,10721582.0,78.1888100466875,8.11709499,33502.7506488997,83.1775174553918,0.1576,S_Europe
GRC,2020,-0.572,-0.958,-0.19,54.51363387978142,84.26,7.34923076923077,41.21,56.872797000000006,10698599.0,78.3066842455552,9.38074493,30487.1129331045,82.999216446858,0.1576,S_Europe
GRC,2021,-0.572,-0.958,-0.19,72.27019178082192,88.89,18.57519230769231,66.07,227.80524999999997,10569207.0,78.3884898647442,9.03178692,33531.15511226,81.9953995345229,0.1576,S_Europe
GRC,2022,-0.572,-0.958,-0.19,30.84449315068493,74.28,15.45923076923077,41.28,367.67927,10436882.0,78.5502190980809,8.44938278,35831.3441781205,80.968828549263,0.1576,S_Europe
GRC,2023,-0.572,-0.958,-0.19,,,5.364905660377358,39.15,377.15464000000003,10407351.0,78.7746303842088,8.39367008,36700.5134631055,80.7397284716835,0.1576,S_Europe
GRC,2024,-0.572,-0.958,-0.19,,,-2.9268181818181818,12.89,,10405134.0,78.9967856500534,,37474.2798239947,,0.1576,S_Europe
HUN,2019,-2.871,-3.608,-2.074,,,,,,9694824.0,70.4565277099609,6.24677849,37662.67681014,106.233004602235,0.1522,E_Europe
HUN,2020,-2.871,-3.608,-2.074,47.17297814207651,76.85,8.009615384615385,65.57,102.348883,9670419.0,70.2917327880859,7.230515,36119.5211735652,105.965581854043,0.1522,E_Europe
HUN,2021,-2.871,-3.608,-2.074,48.19843835616438,79.63,19.408653846153847,74.95,364.52202,9630932.0,70.2059275331413,7.33524847,38887.1909527154,105.532895025203,0.1522,E_Europe
HUN,2022,-2.871,-3.608,-2.074,14.228136986301369,29.07,5.097884615384616,25.28,420.92830000000004,9605074.0,70.1585064243445,6.6474123,40610.9711368238,105.249550734166,0.1522,E_Europe
HUN,2023,-2.871,-3.608,-2.074,,,-1.1375471698113209,13.26,396.4193,9592186.0,70.2923026891431,6.36868954,40333.2546888118,105.108327854482,0.1522,E_Europe
HUN,2024,-2.871,-3.608,-2.074,,,-8.30409090909091,-2.19,,9562065.0,70.491825943218,,40686.9319263343,,0.1522,E_Europe
IRL,2019,0.449,0.107,0.778,,,,,,4976456.0,63.2737009154127,6.61860561,96371.2910180182,72.237712294963,0.1206,N_Europe
IRL,2020,0.279,-0.084,0.616,56.54366120218579,90.74,7.078653846153846,59.32,26.343863,5039747.0,63.4713366724915,6.97323275,101968.554362011,73.1564377993903,0.1206,N_Europe
IRL,2021,0.279,-0.084,0.616,58.55652054794521,87.96,13.44096153846154,42.02,88.737134,5110585.0,63.6774229356985,6.44113493,116903.61243517,74.1847147626651,0.1206,N_Europe
IRL,2022,0.279,-0.084,0.616,12.490301369863014,42.84,14.625576923076922,40.54,147.51222,5212836.0,63.8920250215059,6.02078247,123219.076059494,75.6689795325882,0.1206,N_Europe
